****Global Input****
(322:81243)
(502:40304)
(784:110045)
(1499:153046)
(2176:32525)
(2431:117566)

****Global Output****
(774:60161)
(1036:72004)

****Biased tasks****
task(id(320);cost(21);duration(29);in([[322:81243]#[784:110045]#[2176:32525]]);out([[256:42540]#[1089:81922]#[1828:120052]#[2259:136103]]);mutual_exclusions([]))
task(id(76);cost(81);duration(43);in([[2259:1]]);out([[35:99710]#[259:39132]#[1392:177409]#[1842:66627]]);mutual_exclusions([]))
task(id(275);cost(47);duration(30);in([[35:49855]#[2259:4253]]);out([[706:117474]#[1244:86677]#[1592:161323]#[1741:21043]]);mutual_exclusions([]))
task(id(70);cost(82);duration(25);in([[1392:11]#[1592:630]]);out([[427:32929]#[1753:151004]#[1847:175182]#[2184:46723]#[2545:198331]]);mutual_exclusions([]))
task(id(84);cost(42);duration(49);in([[1753:295]]);out([[201:108751]#[489:54459]#[548:30713]#[588:141618]#[1981:136604]]);mutual_exclusions([]))
task(id(58);cost(96);duration(48);in([[548:60]]);out([[196:85192]#[801:105137]#[870:137039]#[1864:96110]]);mutual_exclusions([]))
task(id(155);cost(61);duration(46);in([[588:17]#[1864:94]]);out([[194:192672]#[1158:158991]#[1358:134221]#[1685:177383]#[2137:73673]#[2459:69609]]);mutual_exclusions([]))
task(id(302);cost(74);duration(46);in([[194:3]#[548:2]#[2545:48]]);out([[476:173184]#[1752:28617]#[1867:162465]#[2200:173805]#[2339:76869]#[2414:74311]]);mutual_exclusions([]))
task(id(28);cost(97);duration(24);in([[1392:2772]#[2414:36]]);out([[584:76976]#[623:140373]#[920:174844]#[1421:171314]#[2041:191803]]);mutual_exclusions([]))
task(id(100);cost(61);duration(20);in([[1089:640]#[1842:521]#[2041:23]]);out([[748:44659]#[860:196222]#[1302:99313]#[2162:188705]#[2213:43594]#[2340:69782]]);mutual_exclusions([]))
task(id(185);cost(67);duration(30);in([[584:1203]#[801:52569]#[860:24528]#[2545:12396]]);out([[107:66054]#[1027:41930]#[2031:90838]#[2364:48986]#[2579:127249]]);mutual_exclusions([]))
task(id(89);cost(55);duration(20);in([[588:8851]#[1027:5]#[1421:42828]#[2137:18418]]);out([[72:133675]#[491:192596]#[1377:46903]#[2308:55923]]);mutual_exclusions([]))
task(id(208);cost(43);duration(29);in([[2200:11]#[2308:874]]);out([[474:39023]#[1579:79014]#[1734:124733]#[1789:76178]#[1931:161178]]);mutual_exclusions([]))
task(id(260);cost(47);duration(36);in([[502:40304]#[1158:2484]#[1499:153046]#[1579:19]#[2259:2127]#[2308:2]#[2414:18578]#[2431:117566]#[2579:7953]]);out([[238:188769]#[1276:66672]#[1464:161306]#[1896:116781]]);mutual_exclusions([]))
task(id(168);cost(25);duration(22);in([[194:24084]#[1392:44352]#[1867:1]#[1896:456]#[2308:1748]]);out([[1051:104164]#[1363:122721]#[1439:83382]#[2066:132507]#[2596:144243]]);mutual_exclusions([]))
task(id(267);cost(79);duration(54);in([[427:4]#[1439:651]]);out([[377:195886]#[800:192988]#[1011:114080]#[1031:123917]]);mutual_exclusions([]))
task(id(11);cost(90);duration(26);in([[238:11798]#[800:192988]#[870:17130]#[1363:1918]]);out([[106:97991]#[198:121480]#[257:163749]#[434:92524]#[2474:30846]]);mutual_exclusions([]))
task(id(334);cost(82);duration(16);in([[106:24]#[1753:590]#[2414:145]]);out([[135:80514]#[563:190693]#[1046:42710]#[1294:169220]#[1714:100064]]);mutual_exclusions([]))
task(id(248);cost(51);duration(42);in([[259:19566]#[377:383]#[1046:1]#[1896:7]#[2041:749]#[2137:144]#[2308:6991]]);out([[466:80932]#[619:61255]#[1300:44374]#[1547:158307]#[2367:73490]#[2473:121473]]);mutual_exclusions([]))
task(id(291);cost(90);duration(57);in([[427:32]#[466:316]#[1089:10240]#[2308:3]]);out([[248:188379]#[696:191256]#[744:79047]#[1485:107538]#[1656:76589]#[2460:47839]]);mutual_exclusions([]))
task(id(258);cost(85);duration(42);in([[588:553]#[696:1494]#[870:8]#[2259:17013]#[2474:964]]);out([[26:38827]#[222:51596]#[781:85265]#[1094:70421]]);mutual_exclusions([]))
