****Global Input****
(40:114319)
(42:36395)
(296:121435)
(419:40185)
(567:117402)
(1149:33611)

****Global Output****
(162:67612)
(975:84227)

****Biased tasks****
task(id(8);cost(83);duration(13);in([[296:121435]]);out([[1002:77283]]);mutual_exclusions([]))
task(id(82);cost(75);duration(42);in([[1002:1208]]);out([[1059:33017]]);mutual_exclusions([]))
task(id(57);cost(97);duration(53);in([[1059:1031]]);out([[38:58763]#[947:93055]#[1234:25920]]);mutual_exclusions([]))
task(id(55);cost(91);duration(21);in([[40:114319]#[1002:19]#[1234:12]]);out([[372:23656]#[818:69669]]);mutual_exclusions([]))
task(id(14);cost(60);duration(17);in([[818:2]#[1234:6480]]);out([[118:48793]#[778:69706]#[874:55236]]);mutual_exclusions([]))
task(id(18);cost(53);duration(48);in([[778:8713]]);out([[1072:98911]#[1162:78400]]);mutual_exclusions([]))
task(id(93);cost(24);duration(25);in([[118:191]#[818:68]#[1072:193]]);out([[2:93074]#[1275:73600]]);mutual_exclusions([]))
task(id(3);cost(58);duration(20);in([[2:2908]#[778:1]#[947:5816]#[1059:4127]]);out([[53:52274]#[1211:121741]]);mutual_exclusions([]))
task(id(101);cost(60);duration(53);in([[118:6]#[818:8]#[1072:1]#[1211:951]#[1234:1620]]);out([[371:75730]]);mutual_exclusions([]))
task(id(26);cost(31);duration(45);in([[2:182]#[118:12]#[371:592]#[1002:10]#[1059:4]#[1211:238]#[1234:810]]);out([[764:25427]#[1185:24208]]);mutual_exclusions([]))
task(id(29);cost(34);duration(27);in([[53:13069]#[764:25]#[818:68]#[1072:1]#[1234:2]]);out([[1236:100848]#[1272:76267]]);mutual_exclusions([]))
task(id(97);cost(89);duration(36);in([[371:18]#[764:49]#[1059:32]#[1236:25]]);out([[359:93089]#[1157:114780]]);mutual_exclusions([]))
task(id(51);cost(84);duration(39);in([[2:364]#[359:23273]#[1072:24]#[1211:1]#[1236:50]]);out([[1294:74244]]);mutual_exclusions([]))
task(id(78);cost(47);duration(27);in([[2:6]#[118:6099]#[371:9]#[764:1]#[818:8708]#[1002:2]#[1072:6]#[1157:449]#[1234:203]#[1294:9280]]);out([[602:59960]]);mutual_exclusions([]))
task(id(56);cost(79);duration(18);in([[2:1454]#[371:148]#[602:2]#[778:17]#[947:181]#[1002:75]#[1059:2063]#[1072:3]]);out([[771:83486]]);mutual_exclusions([]))
