****Global Input****
(249:60063)
(754:25682)
(931:94283)
(1066:117320)
(1109:92916)
(1207:45174)

****Global Output****
(636:95120)
(820:103814)

****Biased tasks****
task(id(91);cost(66);duration(44);in([[931:94283]]);out([[530:66657]#[998:93621]]);mutual_exclusions([]))
task(id(8);cost(27);duration(31);in([[998:1462]]);out([[641:92521]#[1245:26310]]);mutual_exclusions([]))
task(id(128);cost(83);duration(22);in([[641:5782]#[998:2925]]);out([[481:77796]#[646:68076]#[1026:61579]]);mutual_exclusions([]))
task(id(1);cost(41);duration(11);in([[1026:15395]]);out([[319:67739]#[751:128919]]);mutual_exclusions([]))
task(id(122);cost(41);duration(25);in([[481:608]#[641:3]#[751:4029]]);out([[714:84745]]);mutual_exclusions([]))
task(id(25);cost(49);duration(36);in([[714:5296]#[998:23]]);out([[638:68971]#[909:25373]#[1191:29927]]);mutual_exclusions([]))
task(id(89);cost(38);duration(43);in([[714:2]#[909:2]]);out([[460:79781]#[911:43033]]);mutual_exclusions([]))
task(id(114);cost(96);duration(42);in([[460:4987]]);out([[19:87728]#[753:48352]#[1046:47752]]);mutual_exclusions([]))
task(id(46);cost(31);duration(31);in([[19:171]#[460:9973]#[751:16115]#[998:183]]);out([[763:111013]#[1163:25487]#[1255:96486]]);mutual_exclusions([]))
task(id(111);cost(57);duration(45);in([[460:1]#[481:152]#[751:2014]#[753:24176]#[1163:50]]);out([[457:111460]]);mutual_exclusions([]))
task(id(48);cost(52);duration(34);in([[457:54]#[641:1]#[714:10594]]);out([[477:116308]#[828:87882]#[977:120048]]);mutual_exclusions([]))
task(id(129);cost(32);duration(51);in([[19:21932]#[457:435]#[638:269]#[977:29]#[998:11702]]);out([[665:27285]#[1146:23456]]);mutual_exclusions([]))
task(id(92);cost(51);duration(35);in([[460:5]#[665:213]#[714:21]]);out([[1074:124989]#[1095:89385]#[1281:18796]]);mutual_exclusions([]))
task(id(55);cost(20);duration(29);in([[460:1247]#[665:106]#[1046:1493]#[1074:488]]);out([[62:31704]]);mutual_exclusions([]))
task(id(36);cost(22);duration(60);in([[62:2]#[457:6966]#[460:4986]#[638:1]#[641:362]#[763:27]#[828:21971]#[998:11703]#[1074:1]]);out([[322:27774]#[1094:94242]]);mutual_exclusions([]))
task(id(125);cost(82);duration(18);in([[62:62]#[457:4]#[477:58154]#[665:1]#[1046:746]#[1094:92]]);out([[312:66778]#[534:115786]#[687:46859]]);mutual_exclusions([]))
task(id(47);cost(17);duration(10);in([[62:1981]#[641:90]#[687:1]#[751:503]#[998:1463]#[1046:11938]#[1163:13]]);out([[128:39089]]);mutual_exclusions([]))
task(id(121);cost(36);duration(41);in([[128:77]#[460:78]#[481:5]#[534:226]#[641:181]#[714:3]#[763:1735]#[909:3171]#[1046:3]#[1094:3]#[1281:4699]]);out([[549:48942]]);mutual_exclusions([]))
task(id(15);cost(41);duration(33);in([[19:3]#[62:3963]#[128:153]#[460:312]#[549:48]#[665:427]#[714:1]#[977:15006]#[1074:15]]);out([[1077:125813]]);mutual_exclusions([]))
task(id(113);cost(16);duration(16);in([[665:1]#[687:92]#[909:6343]#[1046:5969]#[1077:62]]);out([[292:30361]#[345:36352]]);mutual_exclusions([]))
task(id(130);cost(26);duration(24);in([[62:124]#[345:4544]#[549:1529]#[828:43]#[909:99]#[1046:187]#[1077:983]]);out([[195:93231]]);mutual_exclusions([]))
task(id(33);cost(81);duration(39);in([[195:2913]#[319:16935]#[345:1136]#[457:27]#[638:1077]#[665:426]#[763:1734]#[998:183]#[1026:30]#[1077:491]#[1094:11781]]);out([[770:102223]#[962:91643]]);mutual_exclusions([]))
task(id(65);cost(46);duration(54);in([[62:496]#[128:1]#[345:2]#[481:1215]#[687:366]#[751:252]#[770:3194]#[998:46]#[1094:11780]#[1281:37]]);out([[256:74543]#[266:54434]#[1215:122507]]);mutual_exclusions([]))
task(id(14);cost(59);duration(52);in([[457:54]#[549:765]#[641:1]#[687:5857]#[751:4029]#[770:199]#[909:25]#[977:30012]#[1026:8]#[1163:6]#[1215:4]]);out([[180:40047]#[245:35853]#[724:43720]]);mutual_exclusions([]))
task(id(42);cost(99);duration(34);in([[245:2241]#[345:18]#[460:1]#[481:304]#[534:14473]#[751:1]#[977:4]#[1163:2]]);out([[242:71713]#[528:26902]#[1114:27504]]);mutual_exclusions([]))
task(id(123);cost(53);duration(34);in([[242:1]#[245:70]#[641:361]#[687:1464]#[714:165]#[751:32]#[909:3]#[977:7503]#[998:5851]#[1146:5864]]);out([[359:104414]#[1292:103775]]);mutual_exclusions([]))
task(id(84);cost(32);duration(31);in([[128:4886]#[195:2913]#[359:3]#[457:4]#[528:13]#[534:1809]#[641:180]#[754:25682]#[770:1]#[1026:481]]);out([[23:49382]#[350:90082]#[520:20378]]);mutual_exclusions([]))
task(id(49);cost(65);duration(57);in([[19:21]#[62:123]#[128:2443]#[245:18]#[457:871]#[520:2548]#[528:210]#[665:2]#[1026:15395]#[1094:368]#[1095:44693]#[1163:12]#[1215:3828]]);out([[716:26940]]);mutual_exclusions([]))
task(id(30);cost(41);duration(48);in([[19:21932]#[62:4]#[128:305]#[266:106]#[292:7591]#[549:3059]#[665:27]#[716:53]#[724:2733]#[909:12]#[998:11703]#[1281:36]]);out([[523:41271]#[1107:34424]]);mutual_exclusions([]))
task(id(56);cost(76);duration(47);in([[62:4]#[242:1]#[350:5630]#[460:623]#[523:5158]#[549:6118]#[641:1445]#[687:11]#[716:842]#[724:1366]#[828:10986]#[909:198]#[1074:31]#[1077:983]]);out([[447:102085]#[1275:23709]]);mutual_exclusions([]))
task(id(103);cost(19);duration(37);in([[195:3]#[359:6525]#[447:6380]#[457:13]#[520:637]#[528:210]#[549:764]#[716:421]#[763:1]#[770:6389]#[998:731]#[1046:23]#[1281:1]]);out([[775:52483]]);mutual_exclusions([]))
task(id(126);cost(91);duration(21);in([[128:1221]#[245:4481]#[345:71]#[359:25]#[447:1]#[481:76]#[520:1]#[549:24]#[665:853]#[687:11715]#[714:2648]#[770:799]#[775:6561]#[977:1]#[1046:6]#[1074:61]#[1077:491]#[1163:398]#[1215:7]]);out([[131:78643]#[189:35693]#[668:105050]]);mutual_exclusions([]))
task(id(75);cost(56);duration(59);in([[19:10966]#[128:5]#[242:70]#[245:4]#[266:213]#[292:7590]#[350:2815]#[460:1]#[665:53]#[668:26]#[716:1684]#[751:31]#[775:25]#[828:21970]#[1026:4]#[1077:1966]#[1094:23]#[1163:3186]#[1245:6577]#[1275:5928]#[1281:294]]);out([[34:104928]#[1236:95365]]);mutual_exclusions([]))
task(id(40);cost(87);duration(42);in([[34:3]#[62:3963]#[128:19]#[359:1631]#[549:3059]#[714:662]#[716:421]#[763:13877]#[828:3]#[998:5]#[1094:6]]);out([[26:107427]#[387:126264]#[421:59725]]);mutual_exclusions([]))
task(id(21);cost(77);duration(38);in([[62:1]#[242:2241]#[266:7]#[345:1136]#[421:15]#[447:3]#[457:218]#[460:39]#[523:10]#[534:1]#[641:723]#[977:117]#[1026:481]#[1094:6]#[1163:797]#[1191:14963]]);out([[335:24375]#[680:76549]#[987:37460]]);mutual_exclusions([]))
task(id(35);cost(82);duration(30);in([[62:31]#[195:5827]#[245:8963]#[312:33389]#[335:48]#[350:22521]#[447:12760]#[457:2]#[549:383]#[665:853]#[714:2649]#[770:200]#[775:1]#[977:3751]#[998:366]]);out([[52:92790]#[532:63770]#[535:64563]]);mutual_exclusions([]))
task(id(69);cost(60);duration(24);in([[34:410]#[52:23]#[128:76]#[189:2231]#[266:426]#[335:762]#[345:2272]#[359:1631]#[447:25]#[457:1741]#[460:311]#[481:1]#[534:452]#[549:12]#[665:1705]#[714:5297]#[716:842]#[909:396]]);out([[20:29013]#[852:67582]]);mutual_exclusions([]))
task(id(76);cost(87);duration(10);in([[20:7253]#[34:1]#[128:2443]#[447:13]#[534:3618]#[646:34038]#[770:6]#[909:1586]#[998:23]#[1077:983]#[1163:3]#[1215:479]]);out([[164:75683]]);mutual_exclusions([]))
